,protein
0,1i1nA
1,1iwdA
2,1xdzA
3,1tzvA
4,1xffA
5,1kq6A
6,1cc8A
7,1fl0A
8,1im5A
9,1fx2A
10,1fcyA
11,1hfcA
12,1fqtA
13,1vfyA
14,2vxnA
15,1dbxA
16,1ihzA
17,1ej0A
18,1d4oA
19,1a70A
20,1gmxA
21,1mugA
22,1jfxA
23,1jbkA
24,1svyA
25,1kqrA
26,1jwqA
27,1tqhA
28,1qf9A
29,1ek0A
30,1jo0A
31,2phyA
32,1i71A
33,1iibA
34,1jbeA
35,1dlwA
36,1avsA
37,1rw1A
38,1ny1A
39,1smxA
40,1bkrA
41,1i5gA
42,1rybA
43,1ku3A
44,1jyhA
45,1ag6A
46,1lm4A
47,1jo8A
48,1m4jA
49,1ktgA
50,2cuaA
51,1jvwA
52,2arcA
53,1w0hA
54,1h98A
55,1chdA
56,1cxyA
57,1abaA
58,1fvgA
59,1npsA
60,1f6bA
61,1fvkA
62,1guuA
63,1fk5A
64,1dixA
65,1p90A
66,1gbsA
67,1dmgA
68,2mhrA
69,1h0pA
70,1t8kA
71,4qyxA
72,1pchA
73,1a3aA
74,1o1zA
75,1m8aA
76,1hh8A
77,1gz2A
78,1hdoA
79,1i1jA
80,1qjpA
81,1k7jA
82,1bsgA
83,1eazA
84,1dqgA
85,1ctfA
86,1wjxA
87,1bdoA
88,3borA
89,1g9oA
90,2tpsA
91,1j3aA
92,1ej8A
93,1k7cA
94,1jfuA
95,1vhuA
96,1mk0A
97,1tqgA
98,1d0qA
99,1lo7A
100,1behA
101,1ne2A
102,1pkoA
103,1h2eA
104,1a6mA
105,1ql0A
106,1i4jA
107,1cznA
108,1atlA
109,1c44A
110,1ckeA
111,1kw4A
112,1htwA
113,1atzA
114,5ptpA
115,1c9oA
116,1vjkA
117,1lpyA
118,1d1qA
119,1vp6A
120,1i58A
121,1jkxA
122,1roaA
123,1kidA
124,1h4xA
125,1nrvA
126,1tifA
127,1josA
128,1xkrA
129,1nb9A
130,1bebA
131,1gzcA
132,1fnaA
133,1k6kA
134,1brfA
135,1dsxA
136,2hs1A
137,1vmbA
138,1whiA
139,1aoeA
140,1hxnA
141,1jl1A
142,1gmiA
143,1wkcA
144,1g2rA
145,1c52A
146,1r26A
147,1aapA
148,1cjwA
149,3dqgA
