,protein
0,4qncA
1,2mgyA
2,4hyjA
3,1kf6C
4,2n6lA
5,3emnX
6,1p7bA
7,1a0sP
8,2lomA
9,1mm4A
10,3c02A
11,2wscK
12,1q90B
13,3d31C
14,2yevB
15,4mbsA
16,5a6eB
17,5araT
18,1oedC
19,1orsC
20,2wscL
21,5ek0A
22,2nq2A
23,4wgvA
24,4rngA
25,4huqS
26,4knfA
27,4gycB
28,2k0lA
29,5c1mA
30,3zevA
31,4p6vB
32,2ibzG
33,2oarA
34,1xioA
35,4h33A
36,5araW
37,3fidA
38,4ymkA
39,4httA
40,4he8E
41,4rlcA
42,4px7A
43,3jcuW
44,4pgrA
45,2r6gG
46,4ev6A
47,5dl7A
48,2wwbC
49,4he8D
50,3vmqA
51,2llyA
52,3dhwA
53,2lnlA
54,4d5bA
55,4phzA
56,4y28G
57,2ge4A
58,2yiuB
59,2k21A
60,1kqfC
61,5i20A
62,3rgwS
63,4xnvA
64,3oufA
65,1c17M
66,1m56B
67,3effK
68,4xk83
69,4zr1A
70,3rbzA
71,4k1cA
72,2y69G
73,4bpmA
74,5a63C
75,2lkgA
76,4ymsC
77,4bgnA
78,3k3fA
79,4cz8A
80,5garO
81,4u9lA
82,4d6tD
83,1yq3C
84,4fqeA
85,2x4mA
86,3iyzA
87,2y5yA
88,2mm8A
89,2lhfA
90,4in5H
91,2wscH
92,3jbrE
93,1ar1B
94,5ekeA
95,3tijA
96,2gr8A
97,1vf5D
98,3jcuG
99,3rkoA
100,5ctgA
101,5azbA
102,5doqB
103,2nmrA
104,4x5mA
105,3vwiA
106,3tdoA
107,2kyhA
108,3b4rA
109,4wd7A
110,3jycA
111,4l6rA
112,4o9pA
113,4ryiA
114,4xxjA
115,1occD
116,1q16C
117,4tquM
118,1gzmA
119,4czbA
120,3rkoG
121,4bemJ
122,2wsc2
123,3vouA
124,5hk1A
125,4hycA
126,4mqsA
127,4quvA
128,2mn6A
129,2k73A
130,2fynB
131,3zjzA
132,1occB
133,2porA
134,4kjrA
135,4he8I
136,5a63D
137,5d0yA
138,4cadC
139,4xydB
140,4dxwA
141,2d57A
142,3jcuD
143,1t16A
144,4qndA
145,3rkoF
146,3ddlA
147,2m6bA
148,4o6yA
149,1xl4A
150,3a2sX
151,1mprA
152,2mmuA
153,1uunA
154,1qleC
155,2ervA
156,2wscF
157,3anzA
158,4g1uA
159,4rjwA
160,1yq3D
161,4g7vS
162,2jafA
163,4ltoA
164,1rwtA
165,4tq3A
166,5f1cA
167,3qe7A
168,2lmeA
169,3x29A
170,5i32A
171,2o01F
172,4fuvA
173,4od4A
174,2j58A
175,5dl5A
176,3dl8E
177,2kseA
178,4rl8A
179,2h8aA
180,2o9dA
181,2lckA
182,1izlA
183,4ky0A
184,2ksfA
185,5dirA
186,1fw2A
187,4g80I
188,4gd3A
189,3cn5A
190,4chvA
191,1vclA
192,2lorA
193,3vr8C
194,2wsc3
195,2a9hA
196,2m3gA
197,4tquN
198,5cfbA
199,4ea3A
200,2m8rA
201,3p5nA
202,4y7jA
203,1p4tA
204,3s0xA
205,3wxvA
206,3hw9A
207,4frxA
208,3b5dA
209,5ivaB
210,3x2rA
211,3vr8D
212,4m58A
213,2zxeB
214,2iubA
215,3o7pA
216,4f4lA
217,3rlbA
218,1tlwA
219,2pnoA
220,3iz1A
221,3j1zP
222,2ks9A
223,5aymA
224,2loqA
225,4a2nB
226,2w1pA
227,2bl2A
228,2mafA
229,2oauA
230,4j72A
231,3bryA
232,2q67A
233,3ux4A
234,4huqT
235,4uc1A
236,1qd6C
237,1h6s1
238,4he8C
239,3qnqA
240,2ksdA
241,1bccE
242,3ukmA
243,4l6v8
244,2wsc1
245,1uynX
246,3kj6A
247,1yc9A
248,1nekD
249,5ixmB
250,1fx8A
251,3qraA
252,2a0lA
253,4hw9A
254,2bg9A
255,5awwY
256,3jcuX
257,4p79A
258,4in5L
259,3dwwA
260,3jcuR
261,3um7A
262,4o6mA
263,4oo9A
264,4he8A
265,4p6vE
266,4twkA
267,5id3A
268,5awzA
269,5gaqA
270,2ziyA
271,3gi8C
272,2kogA
273,4dveA
274,4o9pB
275,4ytpD
276,4qtnA
277,4y25A
278,2gfpA
279,3l1lA
280,1kf6D
281,4z7fA
282,3qq2A
283,2j7aC
284,4e1tA
285,3mk7C
286,4ezcA
287,4ldsA
288,2losA
289,4rfsS
290,3udcA
291,3j9tR
292,2evuA
293,3sljA
294,4n75A
295,5doqA
296,2lp1A
297,3mk7B
298,2qomA
299,1vf5B
300,2f93A
301,4n74A
302,4or2A
303,5a1sA
304,2f93B
305,1fftC
306,2f1cX
307,2q7mA
308,4b4aA
309,3m71A
310,4zr0A
311,2z73A
312,2m0qA
313,5c8jI
314,1yewC
315,3emoA
316,3tx3A
317,1fftB
318,4zp0A
319,4f35A
320,4l6v6
321,2n4xA
322,4q2eA
323,2f95B
324,1oedB
325,5bwkE
326,4bwzA
327,4o9uB
328,5a43A
329,4xu4A
330,3x3bA
331,2ksrA
332,3chxB
333,3v5sA
334,1izlC
335,2yiuA
336,5gaeh
337,4p6vD
338,2xzbB
339,4kt0F
340,2vpwC
341,4c9jA
342,2b2fA
343,3dwoX
344,5a40A
345,4njnA
346,3kp9A
347,4hzuS
348,1k24A
349,4d6uD
350,5iofA
351,1pw4A
352,4kt0K
353,4ri2A
354,3a7kA
355,3pjsK
356,3wo7A
357,3wmmM
358,4atvA
359,5ee7A
360,3nymA
361,3g67A
362,4cskA
363,4y28L
364,4rl9A
365,3pwhA
366,4kppA
367,3wdoA
368,4y28K
369,4tkrA
370,1q90A
371,2wscG
372,3llqA
373,3zuxA
374,5dl8A
375,4us3A
376,2gr7A
377,4hkrA
378,3q7kA
379,1ehkB
380,3chxC
381,1e54A
382,3b9wA
383,4pirA
384,1nekC
385,3dzmA
386,1kqfB
387,4ytpC
388,1e7pC
389,4ogqC
390,4p6vF
391,3ze3A
392,2wjqA
393,3jcuS
394,2y69D
395,4p6vC
396,3ug9A
397,4rdqA

