,protein
0,3a0mA
1,1b5qA
2,3aq2A
3,3wryA
4,4qusA
5,6h9hB
6,4l1cA
7,2endA
8,6bs3B
9,5wzjA
10,3gxqA
11,5jqcA
12,3i7aA
13,6hemA
14,5uazA
15,4fuvA
16,3n08A
17,4h25C
18,4kefA
19,3ghyA
20,6qnnB
21,4dkcA
22,5b6cA
23,3h9pA
24,4iu3A
25,6jyzA
26,5zx9A
27,1qhhC
28,5uwoD
29,4k94C
30,2qdjA
31,3qzxA
32,5sy4B
33,1rdqI
34,2vbkA
35,5jp2E
36,2oerA
37,3nlcA
38,1qqp4
39,3b79A
40,6v55A
41,5nfjB
42,4rz9A
43,2xcjA
44,6n2cA
45,4pi8A
46,3bh0A
47,3lqbA
48,6b7pB
49,2rgyA
50,2o34B
51,4qo5A
52,5edlA
53,6nzbA
54,5fs8A
55,2ob0A
56,2gt1A
57,2qhpA
58,6syvA
59,3mw6A
60,2a2fX
61,3w0kA
62,3edfA
63,4ekxC
64,3uv4A
65,4rdbA
66,5eqwE
67,6gf6A
68,4pavA
69,5aogA
70,4utuA
71,2zcaA
72,3phsA
73,3ha2A
74,3h0tC
75,1kaeA
76,5oemA
77,3cnbA
78,1n62B
79,3blnA
80,5i95A
81,2zsiB
82,5n88E
83,2pt7G
84,3h4tA
85,6hhnA
86,3ijmA
87,1o98A
88,4ar9A
89,5fwzA
90,3ah9A
91,3voqA
92,6istB
93,3fwzA
94,2rdmA
95,5uvdA
96,5evfA
97,4hlbA
98,3mtqB
99,2wcrA
100,3cc1A
101,4ix9A
102,2hbvA
103,5cs2A
104,4abmA
105,2bkfA
106,2f7vA
107,6r41A
108,1o69A
109,3ssbC
110,3qraA
111,6vo6C
112,2petA
113,6fanA
114,4j7bC
115,1rocA
116,4j7qA
117,3i38A
118,3cs1A
119,1f9vA
120,4mv4A
121,6rs4B
122,1yacA
123,5swcE
124,4kl0A
125,3kwrA
126,6uxeD
127,3r15A
128,1sqwA
129,4x2pA
130,5evhA
131,5isvA
132,1wwiA
133,5xn3A
134,5wgiA
135,3do6A
136,2wpvB
137,5yjwA
138,2qs9A
139,1e0cA
140,5mypA
141,2f3lA
142,5umfA
143,4qc6A
144,1sw6A
145,1ornA
146,5h06A
147,1v18B
148,3hsaC
149,3rlkA
150,5jgeE
151,5yl9B
152,1yi9A
153,4zrlB
154,2p09A
155,4k0aR
156,3petA
157,4xzfA
158,2i5eA
159,3fqdA
160,5d5yB
161,6g1hA
162,5dofA
163,3dmnA
164,4ajyC
165,5a0lB
166,5forA
167,6rtwA
168,5zwuA
169,1ro2A
170,2yysA
171,3htrA
172,6b3xA
173,1gweA
174,3htkB
175,2fr5A
176,3w8hB
177,2gv8A
178,3l5oB
179,4at7B
180,3c57A
181,2a40C
182,2v7qJ
183,3m84A
184,4wu0A
185,5y24A
186,5chlA
187,4pwoA
188,2bogX
189,6aklC
190,1p1jA
191,4zldA
192,1vjxA
193,4jg9A
194,6i5bA
195,4uz3A
196,3bwwA
197,5vymA
198,2qgqA
199,3kcuA
200,2fg9A
201,2o38A
202,1ryiA
203,5jrhA
204,6scfC
205,2o26X
206,3buuA
207,2j6bA
208,3iacA
209,5gwnA
210,1ouwA
211,3rfiA
212,2oy9A
213,2fe1A
214,6inrA
215,3jv9A
216,2brqC
217,4hstB
218,4qblA
219,5i20D
220,1txgA
221,4bfcA
222,4nfuA
223,3c8gA
224,3d40A
225,5zw7A
226,4zsiA
227,3viqB
228,2qngA
229,6f9nB
230,4e1sA
231,3aqbA
232,5x57A
233,2xttA
234,1kjnA
235,2gb7A
236,3dkaA
237,1h7sA
238,3g40A
239,1ymtA
240,5mfaA
241,5ec0A
242,1vybA
243,1isuA
244,2c0nA
245,3r6dA
246,4ikvA
247,5xgaA
248,3er9B
249,4zkdA
250,1lslA
251,2qswA
252,5sv6A
253,4ak8A
254,6ok1C
255,5hazA
256,4hi8B
257,5m4yE
258,5ls7B
259,4yzeA
260,6b9xC
261,4zsfA
262,2zayA
263,3oo8A
264,1ux5A
265,4h3wA
266,4glkA
267,2erfA
268,2wkdA
269,5mujA
270,1p35A
271,2zz8A
272,2we5B
273,3kwkA
274,3ih6A
275,5v2cO
276,4co8A
277,2fqmA
278,6ifbA
279,6jiwA
280,4kmdA
281,1zavA
282,1qd1A
283,2o3jA
284,6uuiX
285,6nnrB
286,4jdxA
287,3b0dW
288,4js1A
289,6k93A
290,4m8aA
291,5zqhA
292,2vwaA
293,2wswA
294,2oz8A
295,6n9aB
296,4fppA
297,3napA
298,3mvsA
299,3uv0A
300,5eqjA
301,5vjwA
302,3p1gA
303,5v3wA
304,6grhD
305,3s83A
306,4i84A
307,5toqA
308,4lwsB
309,6rykA
310,3cddA
311,5d18A
312,1he1A
313,6tm6A
314,3ju3A
315,4jdeB
316,3kffA
317,4y7uA
318,5yvnA
319,3eleA
320,4x3iA
321,5eibF
322,6emgA
323,6e5yA
324,6el2A
325,5g3tB
326,1r44A
327,6iy9A
328,6hnmA
329,1xkpB
330,1kqfC
331,5ncjA
332,1tuhA
333,4ajyV
334,2a6qA
335,6q43C
336,4eqsA
337,1o7jA
338,5ciqA
339,6bcbA
340,3hc1A
341,3mseB
342,6cgkA
343,3dlcA
344,1vqoW
345,3frqA
346,4kdrA
347,3gkjA
348,1kt6A
349,5zmoA
350,3aljA
351,4njhA
352,3w19C
353,4yk2A
354,5i5dA
355,2idoB
356,5umvA
357,1qq5A
358,3rm3A
359,3k11A
360,3w7tA
361,3bwvB
362,5czyA
363,3ddtA
364,5cyzC
365,4g79A
366,5fcmA
367,3cloA
368,4lpsA
369,3mqzA
370,3cjsA
371,3io3A
372,3covA
373,3l8dA
374,4mijA
375,1s9rA
376,2f6kA
377,3b21A
378,5x40A
379,6mwdB
380,4geqE
381,6qwoA
382,5o2xA
383,4n8gA
384,5je2B
385,5jrcA
386,2b99A
387,4opmA
388,3pviA
389,2zs0C
390,4j9yB
391,3cx5I
392,3qs2A
393,1rfeA
394,4nuuC
395,6ketA
396,4n5uA
397,1igqA
398,3b33A
399,3cggB
400,5o01A
401,3madA
402,5wucA
403,1vqoO
404,5eq7A
405,5cfdA
406,3efzA
407,2zktA
408,6e1xA
409,6fy5A
410,6greA
411,4zhwA
412,2q02D
413,5t87E
414,4bg7A
415,4yf1A
416,4iumA
417,4uf7A
418,1xg8A
419,3u2aA
420,2ygnA
421,4iqnA
422,6hf2A
423,3vuqA
424,3mb5A
425,3ntkA
426,2g2qA
427,5jnoA
428,6c5dA
429,3t5xA
430,2r85A
431,4npxA
432,3pg7A
433,4eu0A
434,2f4iA
435,4whnA
436,5lkqA
437,3kdfD
438,3t4lA
439,1tu3F
440,3fi9A
441,3suiB
442,1twfF
443,6muqA
444,2q88A
445,5o15A
446,3glaA
447,4b6gA
448,4m8oA
449,3ef4A
450,3vl1A
451,3kxwA
452,4anoA
453,5azpA
454,5c0zD
455,3fdsC
456,1uhvA
457,5f3pA
458,3b8fA
459,2zxrA
460,3bsoA
461,3upsA
462,6rygA
463,4m6tA
464,3ro3B
465,5ub3A
466,3cf4A
467,3bc9A
468,3u1lA
469,4rswA
470,3ejjX
471,4hbdA
472,5mk2B
473,4irfA
474,4pw0A
475,4dn7A
476,5k8cA
477,3wwlA
478,5jiwA
479,2db7A
480,1kzyC
481,3df6A
482,5v1yB
483,2ccqA
484,4okzA
485,3ot2A
486,1jyoE
487,1eayC
488,4e5xG
489,1y9iA
490,5nypA
491,2q86A
492,2z1dA
493,3hv8A
494,5h7eA
495,1jz8A
496,3ay5A
497,4g29A
