,protein
0,2n5uA
1,4yo5L
2,4z80D
3,4z3uC
4,4ufqB
5,5c21B
6,5cnqA
7,4z3uD
8,4z39B
9,4x1tA
10,5an6C
11,4zi2C
12,5ag8B
13,4xvnF
14,4yamD
15,4zlhB
16,5fbyA
17,4xywA
18,4yxyD
19,4zuyB
20,2n5dA
21,2n24A
22,4yy2D
23,4zv0A
24,2n52A
25,2n8hA
26,5byoB
27,4zv0B
28,2n5lA
29,4zrsB
30,2myhA
31,4zv4D
32,4y25A
33,4zuaB
34,4yo2A
35,4xmqB
36,2n11A
37,2n4pA
38,2n2cA
39,3x27D
40,4wy9A
41,4v17B
42,4rzaA
43,4rhzB
44,4xe7A
45,4xzvH
46,4xrwA
47,4zi8B
48,4xhpA
49,4y68D
50,4x0nB
51,4zi9B
52,2n12A
53,4y6tF
54,5awwG
55,2n2eA
56,4zwtN
57,4v0hD
58,5craB
59,2n32A
60,5bu3D
61,5ekpD
62,2n5nA
63,4wbeC
64,2mz0A
65,5eo9B
66,4ru3A
67,2n8oA
68,2mx7A
69,4ru4F
70,2n8pA
71,4rocA
72,4ru5C
73,4yo3L
74,4z80B
75,4rs1B

